+++    MSOFTX/*MEID:5 MENAME:MSSBCH1*/        2018-11-26 13:09:35+01:00
O&M    #335
%%LST IMSIGT:;%%
RETCODE = 0  Operation succeeded

IMSIGT
------
 IMSI prefix  MSISDN prefix  Mobile network name             Managed object group
 73003        56920          Claro_CHILE                     PUBLIC              
 73007        56983          Telef¨®nica Movil de Chile S.A  PUBLIC              
 732123       57316          MnName                          PUBLIC              
 73402        58412          MnName                          PUBLIC              
 73801        59266          Digicel Guyana Inc              PUBLIC              
 74001        593994         Conecel S.A_Ecouador            PUBLIC              
 74402        595991         CTI movil_Paraguay              PUBLIC              
 74603        59781          MnName                          PUBLIC              
 74801        59899          Uruguay-ANTEL_Uruguay           PUBLIC              
 74807        59894          MOVISTAR Uruguay                PUBLIC              
 74810        59896          cti movil_Uruguay               PUBLIC              
 90105        88216          MnName                          PUBLIC              
 90128        88239          Malta_Vodafone_M2M              PUBLIC              
 90131        883130         France TELECOM                  PUBLIC              
 90140        88228          Telekom Deutschland Global SIM  PUBLIC              
(Number of results = 39)

5 reports in total
---    END

+++    MSOFTX/*MEID:5 MENAME:MSSBCH1*/        2018-11-26 13:10:11+01:00
O&M    #343
%%LST SCCPGT: LTP=LOCAL;%%
RETCODE = 0  Operation succeeded

SCCP GT table
-------------
 GT name               Network indicator          GT indicator  Translation type  Numbering plan                 Address nature indicator  GT address information  Translation result type  SPC       SCCP sub-system number  Load share DSP group name  New GT name  GT group name  Server name  Managed object group  GT Index

 INT-IMSI-1            National reserved network  ITU Type 4    00                ISDN/Mobile numbering plan     international number      1                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                8       
 INT-IMSI-2            National reserved network  ITU Type 4    00                ISDN/Mobile numbering plan     international number      2                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                9       
 INT-IMSI-3            National reserved network  ITU Type 4    00                ISDN/Mobile numbering plan     international number      3                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                10      
 INT-IMSI-4            National reserved network  ITU Type 4    00                ISDN/Mobile numbering plan     international number      4                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                11      
 INT-IMSI-5            National reserved network  ITU Type 4    00                ISDN/Mobile numbering plan     international number      5                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                12      
 INT-IMSI-6            National reserved network  ITU Type 4    00                ISDN/Mobile numbering plan     international number      6                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                13      
 INT-IMSI-7            National reserved network  ITU Type 4    00                ISDN/Mobile numbering plan     international number      7                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                14      
 INT-IMSI-8            National reserved network  ITU Type 4    00                ISDN/Mobile numbering plan     international number      8                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                15      
 INT-IMSI-9            National reserved network  ITU Type 4    00                ISDN/Mobile numbering plan     international number      9                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                16      
 INT-ISDN-1            National reserved network  ITU Type 4    00                ISDN/Telephony numbering plan  international number      1                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                18      
 INT-ISDN-2            National reserved network  ITU Type 4    00                ISDN/Telephony numbering plan  international number      2                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                19      
 INT-ISDN-3            National reserved network  ITU Type 4    00                ISDN/Telephony numbering plan  international number      3                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                20      
 INT-ISDN-4            National reserved network  ITU Type 4    00                ISDN/Telephony numbering plan  international number      4                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                21      
 INT-ISDN-5            National reserved network  ITU Type 4    00                ISDN/Telephony numbering plan  international number      5                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                22      
 INT-ISDN-6            National reserved network  ITU Type 4    00                ISDN/Telephony numbering plan  international number      6                       SPC+OLD GT               H'0024C9  NULL                    NULL                       NULL         GTG0           LOCAL        PUBLIC                23      
